histidine-AccQ; Formula; C16H15N5O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Tgt RT;2.54; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; RT tolerance;0.2; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; m/z tolerance;15; ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ; Abundance metric; EicCoreArea; (20.0 % threshold);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;; Ion Abundance;;;;;;;;;;;;;;;;;; Corrected Abundance Percentages;;;;;;;;;;;;;;;;;; Summary Statistics;;;;;;;;;;;;;;;;;;;;;;
histidine-AccQ;;;;;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;%; %; % Fractional;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;093_QC_7.d;3.126;26784300;4749549;872645;123189;22640;19427;0;0;0;0;0;0;0;76851;0;32648597;97.62;1.11;0.76;0.09;0.03;0.06;0;0;0;0;0;0;0;0.32;0;100;97.62;2.38;0.54;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;094_A71.d;3.121;20535450;3409187;599430;82924;20885;17183;0;7656;0;0;0;0;0;0;0;24672715;99.14;0;0.6;0.08;0.06;0.07;0;0.04;0;0;0;0;0;0;0;100;99.14;0.86;0.17;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;095_A72.d;3.121;23518280;4004635;748133;107592;20672;15504;13718;0;0;0;0;0;0;0;0;28428530;98.54;0.42;0.79;0.1;0.04;0.06;0.05;0;0;0;0;0;0;0;0;100;98.54;1.46;0.22;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;096_A73.d;3.124;28016590;4886656;874657;129899;25327;14443;12362;0;0;0;0;0;0;0;0;33959938;98.26;0.83;0.67;0.12;0.04;0.04;0.04;0;0;0;0;0;0;0;0;100;98.26;1.74;0.22;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;097_A74.d;3.123;22782600;3867470;696766;102863;18132;0;12103;0;0;0;0;0;0;0;0;27479936;98.75;0.37;0.68;0.11;0.03;0;0.05;0;0;0;0;0;0;0;0;100;98.75;1.25;0.18;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;098_A75.d;3.123;29783340;5199976;947348;127981;15789;23725;11760;0;0;0;12833;0;0;0;0;36122752;98.2;0.85;0.73;0.07;0;0.08;0.03;0;0;0;0.05;0;0;0;0;100;98.2;1.8;0.25;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;099_A76.d;3.127;14611710;2528233;459171;65108;14701;0;6705;0;0;0;0;0;0;0;0;17685628;98.4;0.69;0.71;0.09;0.05;0;0.05;0;0;0;0;0;0;0;0;100;98.4;1.6;0.21;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;100_A77.d;3.123;14764310;2631292;470568;63295;18722;10536;15561;0;0;0;0;0;0;0;0;17974288;97.82;1.2;0.67;0.07;0.08;0.05;0.1;0;0;0;0;0;0;0;0;100;97.82;2.18;0.28;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;101_A78.d;3.125;17227190;3006220;534619;97358;15880;15024;0;0;0;0;0;0;0;0;0;20896289;98.19;0.84;0.64;0.22;0.03;0.08;0;0;0;0;0;0;0;0;0;100;98.19;1.81;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;102_A79.d;3.126;16021850;2784071;505744;85862;16842;12729;0;0;0;0;0;0;0;0;0;19427094;98.23;0.77;0.71;0.18;0.04;0.07;0;0;0;0;0;0;0;0;0;100;98.23;1.77;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;103_A80.d;3.128;22128500;3962247;738738;108075;21740;6719;12991;0;0;0;0;0;0;0;0;26979008;97.68;1.28;0.81;0.11;0.04;0.02;0.06;0;0;0;0;0;0;0;0;100;97.68;2.32;0.27;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;104_QC_8.d;3.125;26964790;4792436;839435;121806;22530;0;0;0;0;0;0;0;0;0;0;32740999;98.09;1.16;0.61;0.11;0.03;0;0;0;0;0;0;0;0;0;0;100;98.09;1.91;0.2;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;105_A81.d;3.125;32252500;6101129;1099587;168946;23420;14189;14777;0;0;0;0;0;0;0;0;39674550;96.8;2.26;0.72;0.13;0.01;0.03;0.04;0;0;0;0;0;0;0;0;100;96.8;3.2;0.33;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;106_A82.d;3.125;38286900;6830005;1168083;172586;29489;24857;14954;0;0;0;0;7864;0;0;0;46534741;97.99;1.23;0.53;0.11;0.03;0.06;0.03;0;0;0;0;0.02;0;0;0;100;97.99;2.01;0.25;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;107_A83.d;3.124;26993490;4805531;836451;119218;19424;13918;681;0;0;0;0;0;0;0;0;32788713;98.06;1.19;0.59;0.1;0.02;0.04;0;0;0;0;0;0;0;0;0;100;98.06;1.94;0.21;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;108_A84.d;3.125;28872160;5031971;909265;119138;25773;3859;15711;0;0;0;0;0;5197;0;0;34983077;98.3;0.82;0.7;0.06;0.05;0;0.05;0;0;0;0;0;0.02;0;0;100;98.3;1.7;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;109_A85.d;3.127;29346010;5298380;958270;133298;28168;18420;3455;0;0;0;0;0;0;0;0;35785995;97.67;1.43;0.71;0.08;0.05;0.05;0;0;0;0;0;0;0;0;0;100;97.67;2.33;0.26;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;110_A86.d;3.126;16175360;2811562;502349;79299;18519;19842;0;0;0;0;7827;0;0;0;0;19614754;98.2;0.77;0.66;0.14;0.06;0.11;0;0;0;0;0.05;0;0;0;0;100;98.2;1.8;0.27;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;111_A87.d;3.123;27203160;4755777;817091;133908;20245;17598;12165;0;0;0;0;0;0;0;0;32959944;98.31;0.88;0.54;0.16;0.02;0.06;0.04;0;0;0;0;0;0;0;0;100;98.31;1.69;0.22;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;112_A88.d;3.124;22796370;3976475;688265;112934;21666;19440;9141;0;0;0;0;0;0;0;0;27624285;98.29;0.84;0.56;0.16;0.04;0.08;0.03;0;0;0;0;0;0;0;0;100;98.29;1.71;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;113_A89.d;3.124;28694310;5182648;927827;149344;23649;12060;14071;0;0;0;0;0;0;0;0;35003906;97.63;1.44;0.68;0.16;0.02;0.03;0.05;0;0;0;0;0;0;0;0;100;97.63;2.37;0.27;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;114_A90.d;3.125;17888960;3184835;570280;83678;15046;12256;0;0;0;0;0;0;0;0;6780;21761838;97.89;1.19;0.68;0.11;0.03;0.06;0;0;0;0;0;0;0;0;0.04;100;97.89;2.11;0.28;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;115_QC_8.d;3.126;27261760;4815037;873557;131827;24053;11489;11243;0;0;0;0;0;0;0;0;33128966;98.01;1.05;0.71;0.12;0.03;0.03;0.04;0;0;0;0;0;0;0;0;100;98.01;1.99;0.24;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;116_A91.d;3.126;26912150;4616220;830746;101204;23298;22093;0;0;0;0;0;0;0;0;0;32505715;98.62;0.55;0.68;0.03;0.05;0.07;0;0;0;0;0;0;0;0;0;100;98.62;1.38;0.18;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;117_A92.d;3.126;27263560;4598455;847958;124022;19846;22744;0;0;0;0;0;0;0;0;0;32876582;98.78;0.26;0.75;0.11;0.02;0.08;0;0;0;0;0;0;0;0;0;100;98.78;1.22;0.18;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;118_A93.d;3.127;17055660;2942462;528109;81702;15048;3666;12408;0;0;0;0;0;0;0;0;20639055;98.43;0.65;0.67;0.14;0.04;0.01;0.07;0;0;0;0;0;0;0;0;100;98.43;1.57;0.22;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;119_A94.d;3.127;24835330;4192543;773952;119235;23241;16539;13547;0;0;0;0;0;0;0;0;29974388;98.69;0.28;0.75;0.13;0.04;0.06;0.05;0;0;0;0;0;0;0;0;100;98.69;1.31;0.21;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;120_A95.d;3.126;6256655;1341270;201642;42967;11122;0;0;0;0;0;0;0;0;0;0;7853657;94.81;4.64;0.14;0.32;0.1;0;0;0;0;0;0;0;0;0;0;100;94.81;5.19;0.45;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;121_A96.d;3.124;18319620;3390366;627195;96268;20605;15244;11896;0;0;0;0;0;0;0;0;22481191;97.03;1.86;0.79;0.13;0.05;0.07;0.06;0;0;0;0;0;0;0;0;100;97.03;2.97;0.34;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;122_A97.d;3.125;22485780;4124787;750726;107117;20584;14270;13406;0;0;0;0;0;3063;0;0;27519729;97.3;1.71;0.74;0.1;0.04;0.05;0.05;0;0;0;0;0;0.01;0;0;100;97.3;2.7;0.31;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;123_A98.d;3.125;18708900;3465427;649044;92422;17173;9141;11448;0;0;0;0;0;0;20470;0;22974028;96.94;1.88;0.84;0.1;0.04;0.04;0.06;0;0;0;0;0;0;0.12;0;100;96.94;3.06;0.43;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;124_A99.d;3.127;14886060;2775577;496461;72087;16845;19252;0;6529;0;0;0;0;0;0;0;18272805;96.99;2;0.69;0.1;0.06;0.12;0;0.04;0;0;0;0;0;0;0;100;96.99;3.01;0.34;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;125_A100.d;3.125;27289130;4838733;867653;121285;22287;19027;3333;0;0;0;0;0;0;0;0;33161448;98.02;1.12;0.68;0.09;0.03;0.06;0;0;0;0;0;0;0;0;0;100;98.02;1.98;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;126_QC_9.d;3.128;27267110;4873897;882022;120360;18980;18618;0;0;0;0;0;0;0;0;0;33180982;97.87;1.26;0.71;0.08;0.02;0.06;0;0;0;0;0;0;0;0;0;100;97.87;2.13;0.24;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;127_A101.d;3.124;21736660;3623555;659065;103630;18482;9077;0;0;0;0;0;0;0;0;0;26150467;99.02;0.07;0.7;0.14;0.03;0.03;0;0;0;0;0;0;0;0;0;100;99.02;0.98;0.16;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;128_A102.d;3.128;15571330;2720744;488884;67967;18953;17694;0;0;0;0;0;0;0;0;0;18885576;98.2;0.86;0.68;0.08;0.07;0.1;0;0;0;0;0;0;0;0;0;100;98.2;1.8;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;129_A103.d;3.123;22030360;3573265;669090;100181;18107;0;7618;0;0;0;0;0;0;0;0;26398625;99.09;0;0.72;0.12;0.03;0;0.04;0;0;0;0;0;0;0;0;100;99.09;0.91;0.15;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;130_A104.d;3.128;33905970;5884101;1047689;133359;23691;8468;13411;0;0;0;0;0;0;0;0;41016692;98.47;0.75;0.65;0.05;0.03;0.02;0.04;0;0;0;0;0;0;0;0;100;98.47;1.53;0.19;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;131_A105.d;3.13;22399180;3823587;641669;106890;23527;18097;12289;0;0;0;0;0;7200;0;0;27032439;98.69;0.47;0.47;0.17;0.05;0.07;0.05;0;0;0;0;0;0.04;0;0;100;98.69;1.31;0.23;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;132_A106.d;3.131;20307470;3643439;648628;95964;22043;15645;11716;0;0;0;4934;0;0;0;0;24749835;97.71;1.32;0.66;0.11;0.06;0.06;0.05;0;0;0;0.03;0;0;0;0;100;97.71;2.29;0.29;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;133_A107.d;3.128;11597660;2185601;387414;63791;14258;0;7790;0;0;0;0;0;0;0;0;14256514;96.85;2.19;0.66;0.17;0.06;0;0.07;0;0;0;0;0;0;0;0;100;96.85;3.15;0.33;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;134_A108.d;3.128;7754944;1669522;272515;48083;12192;0;13310;0;0;0;0;0;0;0;0;9770566;94.42;4.7;0.41;0.21;0.09;0;0.17;0;0;0;0;0;0;0;0;100;94.42;5.58;0.54;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;135_A109.d;3.129;6711562;1370885;231994;37702;7330;0;4304;0;0;0;0;0;0;0;0;8363777;95.51;3.69;0.52;0.16;0.05;0;0.06;0;0;0;0;0;0;0;0;100;95.51;4.49;0.41;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;136_QC_10.d;3.128;27763530;4874166;906338;135026;22131;16711;11455;0;0;0;0;0;2208;0;0;33731564;98.03;0.94;0.79;0.12;0.02;0.05;0.04;0;0;0;0;0;0.01;0;0;100;98.03;1.97;0.25;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;137_A110.d;3.128;9042938;1769017;317707;58820;9455;8104;0;0;0;0;0;0;0;0;0;11206042;96.07;2.87;0.71;0.24;0.03;0.08;0;0;0;0;0;0;0;0;0;100;96.07;3.93;0.39;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;138_A111.d;3.126;29441740;5264080;935286;126354;26989;17656;7928;0;0;0;0;0;0;0;0;35820034;97.89;1.26;0.65;0.07;0.04;0.05;0.02;0;0;0;0;0;0;0;0;100;97.89;2.11;0.24;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;139_A112.d;3.127;45975230;8634805;1407925;199862;38155;1546;13673;0;0;0;0;0;0;0;0;56271198;97.29;2.15;0.4;0.1;0.04;0;0.03;0;0;0;0;0;0;0;0;100;97.29;2.71;0.25;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;140_A113.d;3.128;23405750;4005234;712701;107675;19110;14043;17149;0;0;0;0;0;0;0;0;28281667;98.58;0.51;0.64;0.12;0.03;0.05;0.07;0;0;0;0;0;0;0;0;100;98.58;1.42;0.21;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;141_A114.d;3.127;37530460;6405164;1137052;160096;32821;26066;16494;0;0;0;0;0;0;0;0;45308148;98.67;0.46;0.64;0.09;0.04;0.06;0.04;0;0;0;0;0;0;0;0;100;98.67;1.33;0.19;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;142_A115.d;3.126;30103280;5434264;964195;148227;27496;21289;13265;0;0;0;0;0;0;0;0;36712018;97.65;1.43;0.65;0.13;0.04;0.06;0.04;0;0;0;0;0;0;0;0;100;97.65;2.35;0.27;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;143_A116.d;3.13;26358830;4671822;848626;110754;24870;10699;14643;0;0;0;0;0;0;0;0;32040239;97.98;1.11;0.72;0.06;0.05;0.03;0.05;0;0;0;0;0;0;0;0;100;97.98;2.02;0.24;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;144_A117.d;3.126;27555260;4940492;923849;126714;20917;18623;10874;0;0;0;10783;0;0;0;0;33607516;97.64;1.31;0.82;0.08;0.02;0.06;0.03;0;0;0;0.04;0;0;0;0;100;97.64;2.36;0.3;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;145_A118.d;3.13;4837814;1071336;179353;44256;0;0;0;0;0;0;0;0;0;0;0;6132759;93.8;5.26;0.49;0.46;0;0;0;0;0;0;0;0;0;0;0;100;93.8;6.2;0.54;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;146_QC_11.d;3.129;28123130;4911981;914010;125495;26122;11031;7092;0;0;0;0;6952;0;0;0;34125814;98.15;0.85;0.79;0.08;0.04;0.03;0.02;0;0;0;0;0.03;0;0;0;100;98.15;1.85;0.24;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;147_A119.d;3.135;23223560;4109455;700704;108776;20780;10739;0;0;0;0;0;0;0;0;0;28174017;98.18;1.09;0.52;0.14;0.04;0.04;0;0;0;0;0;0;0;0;0;100;98.18;1.82;0.21;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;;9;148_A120.d;3.133;17965010;3006358;563953;80195;13276;11811;0;0;0;0;0;0;0;0;0;21640604;98.89;0.13;0.8;0.1;0.02;0.06;0;0;0;0;0;0;0;0;0;100;98.89;1.11;0.17;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;Summary Statistics; %labeled;;%fraction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspartic acid-AccQ;Sample Groups; Mean; Std.Dev.; Mean; Std.Dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ; Formula; C16H19N5O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ; Tgt RT;3.38; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ; RT tolerance;0.2; minutes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ; m/z tolerance;15; ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ; Abundance metric; EicCoreArea; (20.0 % threshold);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;;;; Ion Abundance;;;;;;;;;;;;;;;;;; Corrected Abundance Percentages;;;;;;;;;;;;;;;;;; Summary Statistics;;;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;;;;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;m+0;m+1;m+2;m+3;m+4;m+5;m+6;m+7;m+8;m+9;m+10;m+11;m+12;m+13;m+14;m+15;m+16;Abund;%; %; % Fractional;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;SampleGroups; Cpd. Group; File Name; RT;346.15098;347.15434;348.15769;349.16105;350.1644;351.16775;352.17111;353.17446;354.17782;355.18117;356.18453;357.18788;358.19124;359.19459;360.19795;361.2013;362.20466;Sum;346.15098;347.15434;348.15769;349.16105;350.1644;351.16775;352.17111;353.17446;354.17782;355.18117;356.18453;357.18788;358.19124;359.19459;360.19795;361.2013;362.20466;Sum; Unlabeled; Labeled; Labeling;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;004_blank_50% MeOH.d;3.311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;NaN; NaN;0;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;007_QC_2 uL.d;3.219;2608185;647278;98015;14510;0;0;0;0;1106;0;0;0;0;0;0;0;0;3369094;94.62;5.07;0.14;0.12;0;0;0;0;0.04;0;0;0;0;0;0;0;0;100;94.62;5.38;0.38;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;011_extraction blank.d;3.22;60713;30541;4935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96188;76.25;23.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;76.25;23.75;1.48;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;013_1 uM std mix.d;3.219;1686673;410509;69312;9989;0;0;0;0;0;0;0;0;0;0;0;1389;0;2177871;94.64;4.6;0.57;0.09;0;0;0;0;0;0;0;0;0;0;0;0.09;0;100;94.64;5.36;0.46;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;014_10 uM std mix.d;3.212;9227292;1882298;344776;46749;8488;1865;0;0;0;0;0;0;0;0;0;0;0;11511467;98.1;0.86;0.94;0.05;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;100;98.1;1.9;0.19;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;015_100 uM std mix.d;3.21;20587270;3911189;680871;89880;12341;7097;7462;0;0;8762;0;0;0;0;0;0;0;25304871;99.14;0;0.69;0.05;0.01;0.03;0.03;0;0;0.05;0;0;0;0;0;0;0;100;99.14;0.86;0.15;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;018_A1.d;3.214;978139;218217;10516;0;0;0;0;1887;0;0;0;0;0;0;0;0;0;1208759;97.42;2.38;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;100;97.42;2.58;0.24;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;019_A2.d;3.218;1819562;419469;40396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2279428;96.74;3.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.74;3.26;0.2;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;020_A3.d;3.216;1470309;315747;22468;5644;0;0;0;0;0;0;0;0;0;0;0;0;0;1814167;98.24;1.68;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;100;98.24;1.76;0.12;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;021_A4.d;3.22;866163;185155;0;1800;0;0;0;0;0;0;0;0;1325;0;0;0;0;1054442;98.51;1.32;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;100;98.51;1.49;0.21;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;022_A5.d;3.215;2839288;750714;120724;16572;3471;0;0;0;0;0;0;0;0;3167;0;0;0;3733936;92.92;6.5;0.33;0.08;0.06;0;0;0;0;0;0;0;0;0.12;0;0;0;100;92.92;7.08;0.57;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;023_A6.d;3.21;1282423;303609;58657;10574;0;0;0;0;0;0;0;0;0;0;0;0;0;1655262;94.68;3.96;1.13;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;100;94.68;5.32;0.43;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;024_A7.d;3.218;1546531;328028;18826;4854;2989;0;0;0;0;0;0;0;0;0;0;0;0;1901228;98.45;1.38;0;0.01;0.17;0;0;0;0;0;0;0;0;0;0;0;0;100;98.45;1.55;0.13;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;025_A8.d;3.216;2368206;562674;53336;4191;2569;0;0;0;0;0;0;0;0;0;0;0;0;2990975;95.99;3.93;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0;100;95.99;4.01;0.26;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;026_A9.d;3.212;1628404;360871;56666;10919;0;0;0;0;0;0;2389;0;0;0;0;0;0;2059249;96.65;2.58;0.35;0.26;0;0;0;0;0;0;0.16;0;0;0;0;0;0;100;96.65;3.35;0.35;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;027_A10.d;3.219;1481074;324513;34907;12782;0;0;0;0;0;0;0;0;0;0;0;0;0;1853275;97.25;2.23;0;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.25;2.75;0.24;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;028_QC_1.d;3.219;2574768;644305;108437;16917;4041;0;0;0;0;0;0;0;0;0;0;0;0;3348467;94.01;5.22;0.54;0.15;0.08;0;0;0;0;0;0;0;0;0;0;0;0;100;94.01;5.99;0.44;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;029_A11.d;3.206;205978;59653;9836;0;0;0;0;0;0;0;1923;0;0;2425;0;0;0;279814;89.09;8.52;0.28;0;0;0;0;0;0;0;0.91;0;0;1.19;0;0;0;100;89.09;10.91;2.11;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;030_A12.d;3.219;131671;32177;5556;0;0;0;3795;0;0;0;0;0;0;0;0;0;0;173199;92.09;4.57;0.56;0;0;0;2.77;0;0;0;0;0;0;0;0;0;0;100;92.09;7.91;1.4;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;031_A13.d;3.22;587719;123804;13706;6487;0;0;0;0;0;0;0;0;0;0;0;0;0;731715;97.79;1.43;0;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;100;97.79;2.21;0.24;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;032_A14.d;3.22;709454;123235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;832688;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;033_A15.d;3.225;738550;133510;9458;1982;0;0;0;0;0;0;0;0;0;0;0;0;0;883500;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;034_A17.d;3.214;648913;141755;33305;1847;0;0;0;0;0;0;0;0;0;0;0;0;0;825820;95.82;2.22;1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;95.82;4.18;0.38;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;035_A18.d;3.212;1024535;179996;21133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1225664;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;;;;;;;;;;;;;;;;;;;;
citrulline-AccQ;;10;036_A19.d;3.213;473360;97231;6033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576624;99.26;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;99.26;0.74;0.05;;;;;;;;;;;;;;;;;;;;
